Date,Open,High,Low,Close,Adj Close,Volume
2012-05-28,2.240160,2.315530,2.240160,2.315530,2.315530,2316819
2012-05-29,2.308470,2.350870,2.296690,2.341450,2.341450,390140923
2012-05-30,2.336740,2.341450,2.324960,2.332020,2.332020,280599600
2012-05-31,2.322600,2.341450,2.313180,2.327310,2.327310,246208491
2012-06-01,2.329670,2.353220,2.315530,2.332020,2.332020,226582818
2012-06-04,2.303760,2.306110,2.259000,2.263710,2.263710,168188427
2012-06-05,2.266070,2.277850,2.259000,2.266070,2.266070,88651916
2012-06-06,2.268420,2.277850,2.254290,2.261360,2.261360,76425464
2012-06-07,2.280200,2.284910,2.244870,2.249580,2.249580,59981794
2012-06-08,2.263710,2.266070,2.240160,2.242510,2.242510,76742372
2012-06-11,2.249580,2.282560,2.244870,2.273130,2.273130,71190033
2012-06-12,2.261360,2.268420,2.249580,2.254290,2.254290,54802906
2012-06-13,2.261360,2.291980,2.256650,2.289620,2.289620,73856733
2012-06-14,2.284910,2.299050,2.273130,2.277850,2.277850,44027538
2012-06-15,2.282560,2.294330,2.261360,2.284910,2.284910,50834166
2012-06-18,2.291980,2.308470,2.289620,2.296690,2.296690,44685783
2012-06-19,2.294330,2.294330,2.277850,2.280200,2.280200,43467309
2012-06-20,2.284910,2.294330,2.275490,2.277850,2.277850,51465285
2012-06-21,2.273130,2.273130,2.230730,2.247220,2.247220,82948165
2012-06-25,2.240160,2.240160,2.195400,2.200110,2.200110,153562876
2012-06-26,2.190690,2.202470,2.183620,2.197760,2.197760,78475341
2012-06-27,2.195400,2.209530,2.185980,2.190690,2.190690,50420042
2012-06-28,2.193040,2.200110,2.176560,2.176560,2.176560,53036465
2012-06-29,2.171840,2.204820,2.169490,2.202470,2.202470,74480616
2012-07-02,2.214250,2.214250,2.195400,2.202470,2.202470,64352553
2012-07-03,2.204820,2.230730,2.200110,2.207180,2.207180,44011288
2012-07-04,2.209530,2.221310,2.200110,2.209530,2.209530,53280281
2012-07-05,2.200110,2.200110,2.171840,2.181270,2.181270,100064867
2012-07-06,2.185980,2.226020,2.174200,2.216600,2.216600,97281041
2012-07-09,2.207180,2.214250,2.171840,2.174200,2.174200,53199383
2012-07-10,2.171840,2.176560,2.160070,2.164780,2.164780,67554628
2012-07-11,2.160070,2.178910,2.157710,2.176560,2.176560,64895542
2012-07-12,2.171840,2.204820,2.157710,2.188330,2.188330,101130363
2012-07-13,2.190690,2.211890,2.188330,2.197760,2.197760,82280648
2012-07-16,2.202470,2.204820,2.157710,2.162420,2.162420,59953253
2012-07-17,2.160070,2.171840,2.157710,2.169490,2.169490,61581119
2012-07-18,2.167130,2.174200,2.134160,2.164780,2.164780,111630397
2012-07-19,2.162420,2.193040,2.155360,2.176560,2.176560,67959460
2012-07-20,2.169490,2.171840,2.153000,2.155360,2.155360,85580102
2012-07-23,2.143580,2.143580,2.120020,2.124730,2.124730,69905228
2012-07-24,2.120020,2.145930,2.117670,2.131800,2.131800,84995076
2012-07-25,2.127090,2.138870,2.117670,2.120020,2.120020,55192814
2012-07-26,2.122380,2.131800,2.108240,2.112960,2.112960,66405393
2012-07-27,2.120020,2.124730,2.105890,2.112960,2.112960,74388102
2012-07-30,2.115310,2.124730,2.101180,2.105890,2.105890,54415527
2012-07-31,2.105890,2.112960,2.098820,2.103530,2.103530,78527182
2012-08-01,2.105890,2.127090,2.103530,2.115310,2.115310,61722915
2012-08-02,2.112960,2.117670,2.091750,2.098820,2.098820,76329300
2012-08-03,2.103530,2.112960,2.096470,2.112960,2.112960,49794245
2012-08-06,2.110600,2.143580,2.108240,2.138870,2.138870,74274599
2012-08-07,2.141220,2.143580,2.136510,2.138870,2.138870,66489754
2012-08-08,2.143580,2.157710,2.138870,2.141220,2.141220,70750612
2012-08-09,2.141220,2.167130,2.136510,2.164780,2.164780,74994269
2012-08-10,2.164780,2.167130,2.155360,2.157710,2.157710,43259248
2012-08-13,2.153000,2.153000,2.117670,2.120020,2.120020,75786832
2012-08-14,2.120020,2.122380,2.089400,2.120020,2.120020,94919023
2012-08-15,2.112960,2.112960,2.094110,2.098820,2.098820,67102871
2012-08-16,2.096470,2.101180,2.087040,2.089400,2.089400,88690835
2012-08-17,2.091750,2.091750,2.065840,2.079980,2.079980,124600559
2012-08-20,2.065840,2.075270,2.025800,2.065840,2.065840,87657248
2012-08-21,2.063490,2.096470,2.063490,2.077620,2.077620,71169995
2012-08-22,2.079980,2.079980,2.056420,2.061130,2.061130,49961469
2012-08-23,2.063490,2.079980,2.056420,2.070550,2.070550,58186746
2012-08-24,2.065840,2.065840,2.047000,2.049350,2.049350,49528845
2012-08-27,2.042290,2.042290,2.006950,2.006950,2.006950,90844051
2012-08-28,2.002240,2.021090,1.997530,2.009310,2.009310,70559693
2012-08-29,1.999890,2.011670,1.988110,1.992820,1.992820,80498476
