Date,Open,High,Low,Close,Adj Close,Volume
2013-02-06,3.574420,3.574420,3.574420,3.574420,3.574420,0
2013-02-07,null,null,null,null,null,null
2013-02-08,3.575140,3.575140,3.575140,3.575140,3.575140,0
2013-02-18,null,null,null,null,null,null
2013-02-19,null,null,null,null,null,null
2013-02-20,null,null,null,null,null,null
2013-02-21,null,null,null,null,null,null
2013-02-22,3.550880,3.550880,3.550880,3.550880,3.550880,0
2013-02-25,null,null,null,null,null,null
2013-02-26,null,null,null,null,null,null
2013-02-27,null,null,null,null,null,null
2013-02-28,null,null,null,null,null,null
2013-03-01,3.615450,3.615450,3.615450,3.615450,3.615450,0
2013-03-04,null,null,null,null,null,null
2013-03-05,null,null,null,null,null,null
2013-03-06,null,null,null,null,null,null
2013-03-07,null,null,null,null,null,null
2013-03-08,3.560160,3.560160,3.560160,3.560160,3.560160,0
2013-03-11,null,null,null,null,null,null
2013-03-12,null,null,null,null,null,null
2013-03-13,null,null,null,null,null,null
2013-03-14,3.453850,3.453850,3.453850,3.453850,3.453850,0
2013-03-15,3.459910,3.459910,3.459910,3.459910,3.459910,0
2013-03-18,3.415680,3.415680,3.415680,3.415680,3.415680,0
2013-03-19,3.426380,3.426380,3.426380,3.426380,3.426380,0
2013-03-20,3.514140,3.514140,3.514140,3.514140,3.514140,0
2013-03-21,3.513780,3.553020,3.499510,3.549450,3.549450,19573503
2013-03-22,3.549450,3.567290,3.528050,3.563720,3.563720,17083932
2013-03-25,3.563720,3.567290,3.528050,3.553020,3.553020,8550668
2013-03-26,3.531620,3.542320,3.478110,3.517350,3.517350,1505276
2013-03-27,3.513780,3.560160,3.460270,3.528050,3.528050,7325723
2013-03-28,3.470970,3.478110,3.388930,3.431730,3.431730,2588442
2013-03-29,3.435300,3.456700,3.421030,3.435300,3.435300,21080790
2013-04-01,3.438870,3.478110,3.431730,3.453140,3.453140,5790977
2013-04-02,3.435300,3.488810,3.406760,3.413900,3.413900,868741
2013-04-03,3.417460,3.424600,3.374660,3.392490,3.392490,1905736
2013-04-08,3.281910,3.399630,3.281910,3.399630,3.399630,17440438
2013-04-09,3.399630,3.435300,3.399630,3.431730,3.431730,5063137
2013-04-10,3.406760,3.442430,3.399630,3.421030,3.421030,1928799
2013-04-11,3.442430,3.442430,3.399630,3.413900,3.413900,4167238
2013-04-12,3.396060,3.413900,3.378220,3.385360,3.385360,7671851
2013-04-15,3.367520,3.367520,3.314010,3.324710,3.324710,1511450
2013-04-16,3.260500,3.367520,3.260500,3.363950,3.363950,2378681
2013-04-17,3.360390,3.399630,3.353250,3.392490,3.392490,3070876
2013-04-18,3.321150,3.421030,3.321150,3.403190,3.403190,1401390
2013-04-19,3.410330,3.481680,3.410330,3.474540,3.474540,2044451
2013-04-22,3.460270,3.495940,3.456700,3.495940,3.495940,1092876
2013-04-23,3.478110,3.488810,3.392490,3.396060,3.396060,1675929
2013-04-24,3.399630,3.463840,3.392490,3.463840,3.463840,928128
2013-04-25,3.467410,3.485240,3.421030,3.421030,3.421030,5454164
2013-04-26,3.424600,3.428170,3.353250,3.363950,3.363950,3905397
2013-05-02,3.353250,3.385360,3.338980,3.374660,3.374660,4195854
2013-05-03,3.403190,3.453140,3.403190,3.446000,3.446000,2782506
2013-05-06,3.446000,3.513780,3.446000,3.506650,3.506650,6132093
2013-05-07,3.499510,3.528050,3.492380,3.513780,3.513780,5113248
2013-05-08,3.510210,3.553020,3.510210,3.549450,3.549450,4740309
2013-05-09,3.549450,3.556590,3.513780,3.549450,3.549450,2278501
2013-05-10,3.538750,3.574420,3.538750,3.570860,3.570860,6503350
2013-05-13,3.556590,3.588690,3.556590,3.581560,3.581560,6508251
2013-05-14,3.577990,3.577990,3.524480,3.542320,3.542320,3118903
2013-05-15,3.545890,3.595830,3.545890,3.595830,3.595830,8028947
2013-05-16,3.570860,3.649340,3.567290,3.635070,3.635070,8992356
2013-05-17,3.606530,3.699280,3.606530,3.685010,3.685010,7765636
2013-05-20,3.709980,3.738520,3.681440,3.731390,3.731390,8359424
2013-05-21,3.731390,3.781330,3.720680,3.774190,3.774190,8070411
2013-05-22,3.767060,3.788460,3.727820,3.745650,3.745650,11379390
2013-05-23,3.742090,3.781330,3.709980,3.717120,3.717120,3656626
2013-05-24,3.717120,3.774190,3.709980,3.770630,3.770630,4475665
2013-05-27,3.774190,3.817000,3.774190,3.806300,3.806300,2079350
2013-05-28,3.809870,3.824140,3.759920,3.820570,3.820570,2298162
2013-05-29,3.820570,3.852670,3.820570,3.841970,3.841970,2038427
2013-05-30,3.845540,3.863380,3.824140,3.852670,3.852670,3888643
2013-05-31,3.852670,3.881210,3.834840,3.838400,3.838400,1612989
2013-06-03,3.770630,3.849110,3.770630,3.813430,3.813430,1073713
2013-06-04,3.795600,3.802730,3.702850,3.734950,3.734950,2434685
2013-06-05,3.731390,3.763490,3.717120,3.749220,3.749220,760020
2013-06-06,3.742090,3.742090,3.681440,3.681440,3.681440,1360922
2013-06-07,3.685010,3.702850,3.595830,3.613660,3.613660,2061480
2013-06-13,3.595830,3.595830,3.446000,3.510210,3.510210,1306638
2013-06-14,3.510210,3.592260,3.510210,3.588690,3.588690,2004378
2013-06-17,3.602960,3.617230,3.567290,3.588690,3.588690,2555499
2013-06-18,3.606530,3.613660,3.560160,3.599400,3.599400,652392
2013-06-19,3.599400,3.599400,3.531620,3.585130,3.585130,5126926
2013-06-20,3.556590,3.574420,3.467410,3.470970,3.470970,3475619
2013-06-21,3.460270,3.467410,3.346120,3.446000,3.446000,5630507
2013-06-24,3.449570,3.449570,3.206990,3.239100,3.239100,1455886
2013-06-25,3.235530,3.310450,2.989390,3.224830,3.224830,7438397
2013-06-26,3.210560,3.289040,3.203430,3.289040,3.289040,2999620
2013-06-27,3.299740,3.346120,3.224830,3.231960,3.231960,1981244
2013-06-28,3.246230,3.296180,3.189160,3.239100,3.239100,916218
2013-07-01,3.235530,3.499510,3.217700,3.299740,3.299740,3674535
2013-07-02,3.292610,3.363950,3.289040,3.360390,3.360390,1090386
2013-07-03,3.306880,3.367520,3.210560,3.360390,3.360390,1006310
2013-07-04,3.338980,3.428170,3.328280,3.388930,3.388930,643620
2013-07-05,3.406760,3.431730,3.374660,3.374660,3.374660,1085485
2013-07-08,3.281910,3.374660,3.249800,3.249800,3.249800,591945
2013-07-09,3.239100,3.267640,3.224830,3.260500,3.260500,312496
2013-07-10,3.260500,3.367520,3.260500,3.363950,3.363950,733672
2013-07-11,3.378220,3.492380,3.371090,3.463840,3.463840,1264949
2013-07-12,3.456700,3.499510,3.428170,3.435300,3.435300,1225896
2013-07-15,3.456700,3.499510,3.438870,3.495940,3.495940,994461
2013-07-16,3.495940,3.538750,3.478110,3.538750,3.538750,753353
2013-07-17,3.524480,3.556590,3.478110,3.492380,3.492380,550222
2013-07-18,3.460270,3.506650,3.449570,3.485240,3.485240,494885
2013-07-19,3.485240,3.513780,3.406760,3.406760,3.406760,565253
2013-07-22,3.392490,3.470970,3.367520,3.470970,3.470970,358839
2013-07-23,3.478110,3.556590,3.474540,3.553020,3.553020,1044997
2013-07-24,3.542320,3.585130,3.513780,3.570860,3.570860,783991
2013-07-25,3.599400,3.599400,3.503080,3.510210,3.510210,529674
2013-07-26,3.488810,3.520920,3.460270,3.503080,3.503080,761860
2013-07-29,3.470970,3.495940,3.431730,3.431730,3.431730,239453
2013-07-30,3.431730,3.453140,3.360390,3.413900,3.413900,802739
2013-07-31,3.417460,3.474540,3.417460,3.435300,3.435300,870408
2013-08-01,3.446000,3.531620,3.442430,3.531620,3.531620,1884722
2013-08-02,3.542320,3.570860,3.535180,3.538750,3.538750,724290
2013-08-05,3.535180,3.599400,3.535180,3.599400,3.599400,1087793
2013-08-06,3.424600,3.649340,3.424600,3.635070,3.635070,974448
2013-08-07,3.631500,3.652910,3.585130,3.588690,3.588690,5216143
2013-08-08,3.570860,3.627930,3.570860,3.595830,3.595830,4990645
2013-08-09,3.617230,3.638640,3.574420,3.613660,3.613660,500222
2013-08-12,3.613660,3.681440,3.613660,3.677880,3.677880,1941298
2013-08-13,3.667170,3.692150,3.667170,3.692150,3.692150,4096175
2013-08-14,3.681440,3.709980,3.660040,3.674310,3.674310,3036368
2013-08-15,3.670740,3.685010,3.624370,3.627930,3.627930,505745
2013-08-16,3.606530,3.685010,3.549450,3.549450,3.549450,2478755
2013-08-19,3.528050,3.613660,3.524480,3.610100,3.610100,5502460
2013-08-20,3.599400,3.631500,3.581560,3.588690,3.588690,440755
2013-08-21,3.588690,3.620800,3.585130,3.613660,3.613660,314048
2013-08-22,3.620800,3.645770,3.610100,3.631500,3.631500,842716
2013-08-23,3.570860,3.656470,3.560160,3.620800,3.620800,798595
2013-08-26,3.627930,3.702850,3.620800,3.699280,3.699280,1299876
2013-08-27,3.695710,3.727820,3.692150,3.727820,3.727820,1088132
2013-08-28,3.706410,3.738520,3.642200,3.706410,3.706410,868094
2013-08-29,3.706410,3.717120,3.674310,3.706410,3.706410,746136
2013-08-30,3.695710,3.727820,3.649340,3.667170,3.667170,1836427
2013-09-02,3.681440,3.692150,3.638640,3.674310,3.674310,381623
2013-09-03,3.660040,3.752790,3.660040,3.745650,3.745650,2611428
2013-09-04,3.738520,3.759920,3.717120,3.742090,3.742090,876290
2013-09-05,3.717120,3.774190,3.713550,3.763490,3.763490,1915111
2013-09-06,3.734950,3.799160,3.731390,3.792030,3.792030,3666811
2013-09-09,3.809870,3.834840,3.749220,3.820570,3.820570,1391399
2013-09-10,3.820570,3.863380,3.809870,3.852670,3.852670,936764
2013-09-11,3.859810,3.874080,3.709980,3.838400,3.838400,520712
2013-09-12,3.567290,3.859810,3.567290,3.817000,3.817000,1008476
2013-09-13,3.817000,3.881210,3.795600,3.827700,3.827700,487480
2013-09-16,3.802730,3.863380,3.802730,3.824140,3.824140,480515
2013-09-17,3.824140,3.831270,3.799160,3.813430,3.813430,282393
2013-09-18,3.802730,3.849110,3.777760,3.824140,3.824140,174647
2013-09-23,3.817000,3.913320,3.817000,3.899050,3.899050,841024
2013-09-24,3.920450,3.920450,3.859810,3.899050,3.899050,595473
2013-09-25,3.874080,3.931150,3.874080,3.906180,3.906180,1677181
2013-09-26,3.852670,3.906180,3.838400,3.859810,3.859810,336553
2013-09-27,3.820570,3.856240,3.817000,3.838400,3.838400,193304
2013-09-30,3.845540,3.920450,3.838400,3.920450,3.920450,465025
2013-10-08,3.884780,3.938290,3.756360,3.934720,3.934720,872851
2013-10-09,3.934720,3.981100,3.924020,3.981100,3.981100,1176819
2013-10-10,4.006070,4.006070,3.899050,3.963260,3.963260,3419745
